Elevation (metres);Meter från start;Lutning i grader
60,9;56761;-0,198
61,2;56849;0,195
60,6;56928;-0,435
60,8;57007;0,145
60,6;57080;-0,157
59,6;57154;-0,774
57,9;57227;-1,334
57,2;57299;-0,557
55,9;57371;-1,034
52,4;57434;-3,180
48,7;57506;-2,942
45,2;57578;-2,783
43,9;57660;-0,908
42,6;57741;-0,919
41,4;57829;-0,781
40,4;57916;-0,659
39,7;57996;-0,501
38,8;58052;-0,921
36,8;58129;-1,488
35,7;58205;-0,829
35,2;58255;-0,573
35;58305;-0,229
35;58342;0,000
34,2;58419;-0,595
32,3;58518;-1,099
31,9;58616;-0,234
33,8;58713;1,122
37,7;58811;2,279
38,1;58878;0,342
38;58945;-0,086
37,5;59012;-0,428
35;59096;-1,705
34,4;59124;-1,228
34,9;59199;0,382
34,8;59269;-0,082
34,7;59349;-0,072
34,8;59403;0,106
34,5;59438;-0,491
33,9;59484;-0,747
33,8;59547;-0,091
33,7;59599;-0,110
32,9;59645;-0,996
32,8;59670;-0,229
32,4;59732;-0,370
32,2;59784;-0,220
32,8;59820;0,955
32,2;59892;-0,477
32,2;59919;0,000
33,2;59963;1,302
33,8;60002;0,881
34,4;60076;0,465
35;60105;1,185
36,5;60198;0,924
37;60236;0,754
38;60299;0,909
38,9;60361;0,832
39,3;60454;0,246
40,3;60546;0,623
40;60622;-0,226
39,6;60698;-0,302
40;60728;0,764
39,9;60791;-0,091
39,7;60805;-0,818
39,4;60831;-0,661
39,8;60892;0,376
41;60982;0,764
40,2;61073;-0,504
38,3;61127;-2,015
38;61138;-1,562
36;61212;-1,548
35,3;61286;-0,542
34,2;61362;-0,829
34;61438;-0,151
33,4;61534;-0,358
35;61630;0,955
35,7;61725;0,422
36,9;61821;0,716
37,7;61881;0,764
38,2;61942;0,470
38,2;61948;0,000
38,3;61988;0,143
38,5;62030;0,273
38,7;62070;0,286
39;62119;0,351
39,8;62163;1,042
40,6;62196;1,389
40,8;62235;0,294
40,5;62276;-0,419
40,2;62314;-0,452
40,2;62373;0,000
41,1;62450;0,670
41,7;62535;0,404
43,3;62619;1,091
45,3;62703;1,364
46;62794;0,441
46,4;62885;0,252
48,3;62976;1,196
51,2;63052;2,185
52;63128;0,603
52,9;63204;0,678
53,5;63280;0,452
56;63375;1,507
58,8;63471;1,671
58,2;63566;-0,362
55,7;63643;-1,860
54,9;63721;-0,588
54,6;63798;-0,223
53,8;63888;-0,509
51,8;63979;-1,259
51,3;64010;-0,924
51,4;64067;0,101
50,3;64124;-1,106
49,7;64157;-1,042
49,1;64196;-0,881
48,7;64251;-0,417
48,4;64280;-0,593
48;64331;-0,449
47,9;64350;-0,302
47,6;64420;-0,246
47,2;64465;-0,509
47,2;64471;0,000
46,8;64550;-0,290
46,8;64577;0,000
46,8;64632;0,000
46,4;64686;-0,424
46,2;64778;-0,125
47,1;64870;0,560
45,3;64940;-1,473
44,4;65010;-0,737
43,5;65106;-0,537
42,6;65138;-1,611
40,9;65216;-1,249
40,2;65259;-0,933
39,9;65304;-0,382
39,4;65335;-0,924
37;65416;-1,697
35,8;65476;-1,146
34,3;65536;-1,432
33,4;65598;-0,832
32,9;65660;-0,462
32,6;65756;-0,179
33,6;65821;0,881
32,9;65898;-0,521
31;65981;-1,311
31,1;66079;0,058
32,6;66156;1,116
33,8;66233;0,893
33,5;66296;-0,273
34,2;66359;0,637
35,1;66428;0,747
36,3;66497;0,996
37;66592;0,422
36,4;66686;-0,366
35,3;66781;-0,663
34,9;66876;-0,241
34,2;66971;-0,422
34,2;67066;0,000
35,3;67160;0,670
36,2;67255;0,543
37,4;67336;0,849
38,6;67416;0,859
39,9;67495;0,943
41,2;67575;0,931
42,1;67661;0,600
42,2;67748;0,066
41,7;67834;-0,333
42,5;67920;0,533
44,9;68006;1,599
46,1;68093;0,790
46,4;68181;0,195
47,8;68269;0,911
49,4;68322;1,729
51,4;68392;1,637
52,2;68422;1,528
53,2;68462;1,432
55;68512;2,062
56,7;68563;1,909
57,3;68594;1,109
58,8;68679;1,011
59,4;68706;1,273
59,7;68760;0,318
59,4;68815;-0,313
59,3;68838;-0,249
59,2;68917;-0,073
59,4;68971;0,212
58,6;69024;-0,865
57;69101;-1,190
55,4;69179;-1,175
55,5;69256;0,074
59,7;69338;2,932
63,8;69421;2,828
63,1;69489;-0,590
61,3;69556;-1,539
60,3;69609;-1,081
60;69662;-0,324
59,6;69753;-0,252
59,2;69784;-0,739
55,1;69883;-2,372
53,2;69957;-1,471
52,8;70024;-0,342
52,3;70091;-0,428
51,7;70159;-0,506
51,5;70186;-0,424
50,9;70226;-0,859
50,6;70279;-0,324
51,5;70363;0,614
51,9;70409;0,498
53,8;70465;1,943
55,8;70562;1,181
54,6;70660;-0,702
52,4;70757;-1,299
51,6;70854;-0,473
52,6;70951;0,591
53,4;71048;0,473
54,1;71145;0,413
53,2;71242;-0,532
54,1;71318;0,678
54,4;71394;0,226
54,1;71462;-0,253
53,2;71531;-0,747
52,2;71616;-0,674
52,2;71654;0,000
52,2;71704;0,000
52,6;71738;0,674
53,9;71813;0,993
54,5;71868;0,625
55;71946;0,367
55;72024;0,000
56,2;72120;0,716
56,4;72216;0,119
56,1;72313;-0,177
54;72409;-1,253
53,5;72505;-0,298
52,6;72601;-0,537
53,7;72652;1,236
53,8;72703;0,112
53,3;72793;-0,318
53;72882;-0,193
53;72972;0,000
52,3;73062;-0,446
52,5;73103;0,279
53;73178;0,382
53;73252;0,000
